La battagliola è:,un'apertura praticata in coperta.,un punto specifico della murata ove appoggiare i parabordi tutte le volte che si esegue l'ormeggio di fianco.,una sorta di ringhiera laterale per aiutare il passaggio tra poppa e prora.,una sorta di ringhiera laterale per aiutare il passaggio tra poppa e prora.
"Quale affermazione, tra le seguenti, è corretta:",l'insieme di draglie e candelieri costituisce la battagliola a protezione del camminamento per il passaggio tra poppa e prora.,la stazza esprime la larghezza totale della scafo.,l'opera viva è la parte emersa dello scafo.,l'insieme di draglie e candelieri costituisce la battagliola a protezione del camminamento per il passaggio tra poppa e prora.
Lo scafo di un'unità da diporto è la:,sezione maestra dell'opera morta.,sezione maestra dell'opera viva.,struttura che costituisce il guscio dell'unità.,struttura che costituisce il guscio dell'unità.
"La ""losca"" è:",un foro per il quale passa la catena dell'ancora quando viene dato fondo.,"un'apertura, ricavata nella poppa, per la quale passa l'asse del timone.","la parte più bassa dello scafo, immediatamente al di sotto del motore, dove si raccolgono eventuali perdite di fluidi.","un'apertura, ricavata nella poppa, per la quale passa l'asse del timone."
Il beccheggio è l'oscillazione dell'unità intorno al suo asse:,trasversale.,longitudinale.,verticale.,trasversale.
"La parte strutturale della poppa, alla quale si incardina il timone, se esterno, è:",il dritto di poppa.,la losca del timone.,il ginocchio di poppa.,il dritto di poppa.
"Le strutture verticali, che suddividono internamente lo scafo, sono:",le murate.,le paratie.,il  pagliolato.,le paratie.
La carena è:,l'opera viva.,la parte esterna dello scafo.,l’opera morta.,l'opera viva.
Una sovrastruttura è quella parte della nave che si eleva al di sopra del:,pagliolato.,paramezzale.,ponte di coperta nel caso di unità con unico ponte.,ponte di coperta nel caso di unità con unico ponte.
La tuga è:,la sovrastruttura abitabile innalzata sopra un ponte.,un elemento costruttivo ubicato sotto il ponte.,"un vano destinato al ricovero di cime, vele e accessori.",la sovrastruttura abitabile innalzata sopra un ponte.
La sagola è:,la corda più lunga.,una sartia volante.,una cima di piccolo diametro,una cima di piccolo diametro
Cosa si intende per giardinetto?,la parte esterna convessa (a dritta e sinistra) in corrispondenza della prua.,la zona più esterna e centrale della poppa.,"la porzione terminale della parte esterna dello scafo, posto in prossimità della poppa (a dritta e a sinistra), con profilo spigoloso o tondeggiante.","la porzione terminale della parte esterna dello scafo, posto in prossimità della poppa (a dritta e a sinistra), con profilo spigoloso o tondeggiante."
Cosa è il boccaporto?,il giardinetto come la parte curva dello scafo vicino alla prora.,il trincarino come la protezione  esterna  dello scafo.,l'apertura nel ponte di coperta per il passaggio all'interno di persone o cose.,l'apertura nel ponte di coperta per il passaggio all'interno di persone o cose.
Qual è la funzione degli zinchi?,evitare le corrosioni galvaniche.,aumentare la zavorra.,impedire che l'acqua filtri all'interno dello scafo.,evitare le corrosioni galvaniche.
"Il flying bridge, detto anche fly, è:","il ponte superiore di una unità a motore, dove è collocata la seconda timoneria.","il ponte principale, dove si trova la timoneria principale.",un tipo di vela.,"il ponte superiore di una unità a motore, dove è collocata la seconda timoneria."
Cos'è il baglio massimo:,la distanza verticale tra la linea di galleggiamento e la parte superiore della chiglia.,il peso totale che la nave può trasportare.,la larghezza massima dello scafo.,la larghezza massima dello scafo.
Il pagliolo di un'imbarcazione da diporto è:,una trave longitudinale che sostiene i bagli.,un piano amovibile e calpestabile sotto coperta.,un elemento essenziale per il rinforzo trasversale dell'imbarcazione.,un piano amovibile e calpestabile sotto coperta.
La distanza verticale posta tra la coperta e la linea di galleggiamento è:,il bordo libero.,l'immersione.,l'opera viva.,il bordo libero.
Cosa è la sezione maestra dello scafo?,"la sezione trasversale centrale che, normalmente, ha maggior larghezza",la zona in cui si comanda.,la sezione iniziale dello scafo,"la sezione trasversale centrale che, normalmente, ha maggior larghezza"
In un'imbarcazione da diporto la tuga è:,"la sovrastruttura elevata sulla coperta, che non si estende per tutta la larghezza dell'unità.",il pozzetto a poppa ovvero la parte ribassata rispetto al piano di coperta.,"la sovrastruttura elevata sulla coperta, che si estende per tutta la larghezza dell'unità.","la sovrastruttura elevata sulla coperta, che non si estende per tutta la larghezza dell'unità."
I candelieri sono:,fanali bianchi da accendere in caso di emergenza.,gli appigli orizzontali di sicurezza.,elementi verticali delle battagliole.,elementi verticali delle battagliole.
Il piano di calpestìo più basso di un’imbarcazione da diporto si chiama:,sentina.,coperta.,pagliolato.,pagliolato.
La carena viene detta dislocante se è del tipo:,piatta.,catamarano.,tonda.,tonda.
La linea di galleggiamento:,è la linea che divide lo scafo in opera viva e opera morta.,è la parte terminale superiore della fiancata.,indica il limite superiore del bordo libero.,è la linea che divide lo scafo in opera viva e opera morta.
Un catamarano:,non plana e navigando sposta l’acqua a destra e a sinistra.,non plana e si alza sul filo dell’acqua.,presenta due scafi.,presenta due scafi.
Il timone è compensato quando:,è composto da un particolare tipo di legno.,una parte della pala è a proravia dell'asse.,corregge eventuali errori del timoniere.,una parte della pala è a proravia dell'asse.
Come si chiama la superficie del timone su cui agisce la pressione dell'acqua?,asse.,pala.,ruota.,pala.
Il timone è compensato se:,una parte della pala è a proravia dell'asse.,tutta la pala è a poppavia dell'asse.,la pala è dotata di asse in alluminio.,una parte della pala è a proravia dell'asse.
La freccia verso l'unità rappresentata in figura a fianco indica il:,mascone.,traverso.,giardinetto.,traverso.
Le frecce in figura indicano:,il mascone di sinistra.,la murata sinistra.,il giardinetto di sinistra.,la murata sinistra.
Le frecce in figura indicano:,il  baglio  massimo.,il mascone di dritta.,la murata di dritta.,la murata di dritta.
I tubolari sono:,"i tubi di scarico del pozzetto, collegati agli ombrinali.","le parti esterne di un battello pneumatico, che ne garantiscono una parte della riserva di galleggiamento.",l'insieme degli elementi a protezione del camminamento per il passaggio tra poppa e prora.,"le parti esterne di un battello pneumatico, che ne garantiscono una parte della riserva di galleggiamento."
Per RIB (o RHIB) si intende:,i battelli pneumatici con chiglia rigida.,il musone di prua dove è alloggiata l'ancora.,è un nome di fantasia.,i battelli pneumatici con chiglia rigida.
Si chiama musone:,è un nome di fantasia.,l'attacco del timone sullo specchio di poppa.,"la ferramenta che si trova a prua estrema, generalmente composta da un unico blocco, che comprende il passacatena  dell´ancora.","la ferramenta che si trova a prua estrema, generalmente composta da un unico blocco, che comprende il passacatena  dell´ancora."
Il  passascafo è:,la parte filettata che attraversa lo spessore della carena e si connette alla presa a mare nelle tubazioni che trasportano l'acqua alle o dalle varie utenze.,il foro da cui defluisce l'acqua dal pozzetto.,il foro attraverso cui passa la catena dell'ancora quando viene dato fondo.,la parte filettata che attraversa lo spessore della carena e si connette alla presa a mare nelle tubazioni che trasportano l'acqua alle o dalle varie utenze.
Il pozzetto è:,"la parte esterna di un'imbarcazione dove solitamente sono posizionate le manovre e il timone, destinata ad accogliere gli ospiti in sicurezza.",il punto di raccolta di eventuali perdite di fluidi del motore.,l'apertura per far defluire l'acqua presente in coperta.,"la parte esterna di un'imbarcazione dove solitamente sono posizionate le manovre e il timone, destinata ad accogliere gli ospiti in sicurezza."
Il pulpito è:,l'attacco della ruota del timone.,"la protezione dalle cadute posta a estrema prua e estrema poppa, solitamente in tubo di acciaio, cui è ancorata la battagliola.","la ferramenta che si trova a prua estrema, generalmente composta da un unico blocco, che comprende il passacatena  dell´ancora.","la protezione dalle cadute posta a estrema prua e estrema poppa, solitamente in tubo di acciaio, cui è ancorata la battagliola."
Si dicono prese a mare:,"le valvole, poste in connessione con i passascafo,  che  consentono di chiudere l'ingresso dell'acqua all'interno della barca.",le elichette che fuoriescono dallo scafo con cui il log determina la velocità dello scafo.,è un termine di fantasia.,"le valvole, poste in connessione con i passascafo,  che  consentono di chiudere l'ingresso dell'acqua all'interno della barca."
"In base alle prestazioni nautiche dei principali tipi di scafo, si può affermare che:","la carena a ""V"" profonda affronta meglio il moto ondoso molto formato.",la carena dislocante è la più adatta alla planata.,la carena piatta è la più adatta per affrontare il moto ondoso formato.,"la carena a ""V"" profonda affronta meglio il moto ondoso molto formato."
Il rollìo è l'oscillazione dell'unità intorno al suo asse:,longitudinale.,verticale.,trasversale.,longitudinale.
La carena viene detta dislocante se:,se in un dato momento non plana.,plana e si alza sul filo dell'acqua.,è tonda oppure a V profondo.,è tonda oppure a V profondo.
La carena viene detta dislocante se è del tipo:,non plana e navigando sposta l’acqua a destra e a sinistra.,plana e si alza sul filo dell’acq,presenta due scafi.,non plana e navigando sposta l’acqua a destra e a sinistra.
Per trim si intende:,una tipologia di carena.,il pistone idraulico che va ad agire sulla posizione del motore fuoribordo modificando l'angolo tra lo specchio di poppa e il gambo del  motore  stesso.,il sistema di comunicazione radio.,il pistone idraulico che va ad agire sulla posizione del motore fuoribordo modificando l'angolo tra lo specchio di poppa e il gambo del  motore  stesso.
I flaps sono:,"appendici immerse, montate sullo specchio di poppa, per influire sull'assetto della carena.",le alette delle imbarcazioni a vela.,"non esistono, è un nome di fantasia.","appendici immerse, montate sullo specchio di poppa, per influire sull'assetto della carena."
I flaps:,"sono montati sullo specchio di poppa, sono sempre due, uno sull’estremità destra e l’altro sull’estremità sinistra.",sono montati uno sullo specchio di poppa e l'altro subito al di sotto della prua.,"sono sempre due, montati subito al di sotto della prua.","sono montati sullo specchio di poppa, sono sempre due, uno sull’estremità destra e l’altro sull’estremità sinistra."
Il controllo dei flaps è solitamente:,"manuale, effettuato tramite dei leveraggi disposti nella zona poppiera dell'unità.",regolato dal cantiere all'atto della prima messa in acqua.,"realizzato attraverso il monitoraggio di un display, normalmente posto sulla plancia, analogico o digitale, che indica la loro altezza.","realizzato attraverso il monitoraggio di un display, normalmente posto sulla plancia, analogico o digitale, che indica la loro altezza."
"Tra un'elica a passo fisso, una a pale abbattibili ed una a pale orientabili, l'elica che ha il minor rendimento a marcia indietro è quella a:",pale orientabili.,pale fisse.,pale abbattibili.,pale abbattibili.
In retromarcia con un'unica elica destrorsa:,la poppa ruota più facilmente a sinistra.,la poppa ruota più facilmente a dritta.,è indifferente.,la poppa ruota più facilmente a sinistra.
Unità da diporto a motore con a dritta elica destrorsa; si può ragionevolmente ritenere che quella di sinistra:,"non ha importanza, perché può essere indifferentemente sinistrorsa o destrorsa in quanto, in entrambi i casi, l'unità evoluisce sempre allo stesso moto ed alle medesime condizioni.",è sinistrorsa.,tende a spostare la prua lateralmente verso sinistra.,è sinistrorsa.
In retromarcia con un'unica elica sinistrorsa:,la poppa ruota più facilmente a sinistra.,la poppa ruota più facilmente a dritta.,è indifferente.,la poppa ruota più facilmente a dritta.
"Su un'unità munita di due motori, le eliche generalmente sono:",sinistrorsa a sinistra e destrorsa a dritta.,entrambe sinistrorse.,entrambe destrorse.,sinistrorsa a sinistra e destrorsa a dritta.
"In navigazione a motore, dov'è ubicato, rispetto al centro nave, l'asse di rotazione intorno al quale l'unità accosta?",verso prua.,verso poppa.,al centro.,verso prua.
"Un'elica è destrorsa se, guardando la poppa dall'esterno, le pale:",girano in senso orario in marcia indietro.,girano in senso orario in marcia avanti.,girano in senso antiorario in marcia avanti.,girano in senso orario in marcia avanti.
"Cosa, oltre la spinta esercitata dalle singole pale, influisce sull'effetto evolutivo dell'elica?",la rapidità dell'invertitore di inserire una marcia.,il diametro del mozzo dell'elica.,il flusso d'acqua spinto contro la pala del timone o la carena.,il flusso d'acqua spinto contro la pala del timone o la carena.
Il timone compensato serve a:,avere un timone più robusto.,allontanare dall'asse di rotazione il punto di applicazione della risultante della pressione esercitata dall'acqua sulle pale.,ridurre la resistenza della pala alla rotazione e quindi la durezza della barra/ruota.,ridurre la resistenza della pala alla rotazione e quindi la durezza della barra/ruota.
Un timone compensato è quel timone:,di rispetto.,i cui effetti evolutivi sono compensati da quelli dell'elica.,che presenta una parte della pala a proravia dell'asse.,che presenta una parte della pala a proravia dell'asse.
Com'è definita la differenza tra la distanza teorica e quella effettiva percorsa da un'elica in un giro completo?,passo.,diametro.,regresso.,regresso.
L'effetto evolutivo di un'elica destrorsa in rotazione all'indietro (retromarcia) fa ruotare:,sia la poppa sia la prora verso dritta.,"la poppa verso dritta, quindi la prora verso sinistra.","la poppa verso sinistra, quindi la prora verso dritta.","la poppa verso sinistra, quindi la prora verso dritta."
Qual è l'angolo di rotazione del timone (intorno al suo asse) per ottenere il massimo effetto di governo?,tra 90 gradi e 115 gradi.,tra 50 gradi e 90 gradi.,tra 30 gradi e 40 gradi.,tra 30 gradi e 40 gradi.
"In marcia avanti, portando la ruota del timone a sinistra, come si comporta la poppa dell'unità?",accosta a dritta.,accosta a sinistra.,orza.,accosta a dritta.
"Un'elica si definisce sinistrorsa quando, guardando la poppa dall'esterno, le pale girano in senso:",antiorario nella marcia avanti.,antiorario nella marcia indietro.,orario nella marcia avanti.,antiorario nella marcia avanti.
La distanza teorica che un'elica percorrerebbe in un giro completo se l'acqua fosse solida è denominata:,passo teorico.,diametro teorico.,regresso teorico.,passo teorico.
"L'elica con passo lungo e diametro piccolo, rispetto a una, che al contrario, ha passo piccolo e diametro più grande:",produce maggiore velocità.,produce maggior spinta.,è indifferente.,produce maggiore velocità.
"In generale, oltre all'accostata, l'impiego del timone con pala produce i seguenti effetti:","spostamento laterale sul lato dell'accostata, lieve appoppamento.","riduzione di velocità, spostamento laterale sul lato opposto a quello della pala, leggero appruamento.",esclusivamente lo sbandamento.,"riduzione di velocità, spostamento laterale sul lato opposto a quello della pala, leggero appruamento."
La curva di evoluzione:,è riferita alla velocità dell'unità.,è la traiettoria descritta dall'unità che accosta verso dritta ovvero sinistra.,descrive la rotazione del timone,è la traiettoria descritta dall'unità che accosta verso dritta ovvero sinistra.
"Riguardo al funzionamento del timone a barra, abbiamo che:","se in moto avanti, con barra a dritta la prora accosta a dritta.","se in moto indietro, con barra a dritta la poppa accosta a sinistra.","se in moto indietro, con barra a dritta la poppa accosta a dritta.","se in moto indietro, con barra a dritta la poppa accosta a sinistra."
Per effettuare un corretto ormeggio di poppa alla banchina:,si retrocede perpendicolarmente alla banchina presentando il mascone e correggendo solo col timone.,"con elica sinistrorsa, si retrocede perpendicolarmente alla banchina presentando il giardinetto di dritta alla banchina.","con elica destrorsa, si retrocede perpendicolarmente alla banchina correggendo con il timone a sinistra.","con elica sinistrorsa, si retrocede perpendicolarmente alla banchina presentando il giardinetto di dritta alla banchina."
Effettuo un ormeggio di fianco (all'inglese) con un'elica destrorsa:,se aziono il motore in marcia indietro avvicino la prua alla banchina,l'unità si muove parallelamente alla banchina.,"con la banchina a sinistra, si dà marcia indietro con il mascone di sinistra alla banchina, avvicinando la poppa e arrestando l'abbrivio.","con la banchina a sinistra, si dà marcia indietro con il mascone di sinistra alla banchina, avvicinando la poppa e arrestando l'abbrivio."
L'effetto evolutivo dell'elica è maggiore con un'unità:,abbriviata a marcia indietro.,abbriviata a marcia avanti.,senza abbrivio e con marcia inserita.,senza abbrivio e con marcia inserita.
Si ha cavitazione nel momento in cui l'elica:,non raggiunge il regime minimo dei giri.,oltrepassa il limite dei giri e non si ha più la spinta propulsiva.,s'impiglia in un cavo.,oltrepassa il limite dei giri e non si ha più la spinta propulsiva.
"Con elica sinistrorsa, se manovro in marcia indietro:","con il timone al centro, la poppa accosta a sinistra.","con il timone al centro, la poppa accosta a dritta.",l'unità procede dritta.,"con il timone al centro, la poppa accosta a dritta."
"Se un'unità da diporto a motore bielica ha a sinistra un'elica sinistrorsa, si può ragionevolmente ritenere che quella di dritta:",è destrorsa.,può essere indifferentemente destrorsa o sinistrorsa.,è destrorsa anch'essa.,è destrorsa.
Il timone è compensato quando:,è dotato di sistema di comando idraulico.,una parte della pala è a proravia dell'asse.,è fissato allo specchio di poppa a mezzo di cerniere.,una parte della pala è a proravia dell'asse.
"Con elica destrorsa, manovro in marcia indietro:","tenendo il timone al centro, la poppa accosta a dritta.","con il timone a dritta, limito l’accostata della poppa a sinistra.","con il timone a sinistra, accentuo l’accostata della poppa a dritta.","con il timone a dritta, limito l’accostata della poppa a sinistra."
Manovrando una unità da diporto dotata di due linee d'asse (destrorsa a dritta e sinistrorsa a sinistra); si ha che:,"con il solo motore di dritta in marcia indietro (fermo il motore di sinistra), la prora accosta a dritta.","con il motore di dritta in marcia avanti e con quello di sinistra in marcia indietro, si ruota sul posto in senso orario.","con il solo motore di sinistra in marcia indietro (fermo il motore di dritta), la poppa accosti a sinistra.","con il solo motore di dritta in marcia indietro (fermo il motore di sinistra), la prora accosta a dritta."
Un’elica destrorsa:,in marcia avanti tende a far accostare la poppa a sinistra.,"se vista da poppa, in marcia avanti l'elica gira in senso antiorario.","in marcia indietro, l'elica tende a far accostare la poppa a sinistra.","in marcia indietro, l'elica tende a far accostare la poppa a sinistra."
"Sulla manovra e il funzionamento del timone a barra, senza considerare l’effetto dell’elica, in marcia avanti abbiamo che:","con barra a sinistra, la prua va a sinistra.","con barra a sinistra, la prua va a dritta.","con barra a sinistra, in moto indietro la poppa va a sinistra.","con barra a sinistra, la prua va a dritta."
Ruotando la ruota a sinistra nel moto in avanti; accade che la:,prora vada a sinistra.,prora vada a dritta.,poppa vada a sinistra.,prora vada a sinistra.
Un'elica sinistrorsa:,"guardando la poppa dall'esterno, in marcia avanti gira in senso antiorario.","in marcia avanti, tende a fare accostare la poppa a dritta.","in marcia indietro, tende a fare accostare la prora a dritta.","guardando la poppa dall'esterno, in marcia avanti gira in senso antiorario."
Con un motore fuoribordo:,"in marcia avanti, ruotando il piede a dritta, la poppa accosta a dritta.",l’effetto evolutivo dell’elica è più importante rispetto a quello generato con un entrobordo monoelica.,"in marcia avanti, ruotando il piede a dritta, la poppa accosta a sinistra.","in marcia avanti, ruotando il piede a dritta, la poppa accosta a sinistra."
Un’elica destrorsa:,"in marcia indietro, l’elica ruota in senso antiorario.","in marcia indietro, con timone al centro, la poppa si sposta verso dritta.","in marcia avanti, con timone al centro, la poppa si sposta verso sinistra.","in marcia indietro, l’elica ruota in senso antiorario."
Il timone avente tutta la pala a poppavia dell’anima è denominato:,compensato.,ordinario.,comune.,ordinario.
Installando un timone compensato si ottiene che:,si riesce a far ruotare il timone fino a circa 90 gradi.,è richiesto uno sforzo minore per girare la ruota.,l’unità ruota decisamente di più.,è richiesto uno sforzo minore per girare la ruota.
Come ci si deve comportare per manovrare in caso di avaria al timone su una barca di piccole dimensioni?,non si può manovrare per cui conviene chiedere aiuto.,immergendo un remo sul lato sinistro per virare a sinistra.,immergendo un remo sul lato sinistro per virare a dritta.,immergendo un remo sul lato sinistro per virare a sinistra.
"Con motore entrobordo ed elica sinistrorsa, in marcia avanti e con il timone al centro:",la poppa tende ad evoluire verso sinistra.,l’unità avanza con moto diritto.,la prora tende ad evoluire verso sinistra.,la poppa tende ad evoluire verso sinistra.
"Con motore entrobordo ed elica sinistrorsa, in retromarcia e con il timone al centro, accade che:",l’unità indietreggia con moto diritto.,la poppa tende ad evoluire verso dritta.,la poppa tende ad evoluire verso sinistra.,la poppa tende ad evoluire verso dritta.
L’effetto evolutivo dell’elica su un motore entrobordo si compensa:,usando un'elica particolare.,inclinando leggermente l’asse portaelica.,con il timone.,con il timone.
Cosa si intende per timoni accoppiati di un'unità?,la condizione in cui il timone principale e quello di emergenza si muovono in sincronia.,due timoni uguali e simmetrici utilizzati su alcune unità navali bielica che agiscono in sincronia.,la condizione in cui i due timoni montati a bordo sono collegati al pilota automatico.,due timoni uguali e simmetrici utilizzati su alcune unità navali bielica che agiscono in sincronia.
"In un'unità bielica (con due assi portaelica), per quale motivo l'elica di dritta è destrorsa e l'elica di sinistra è sinistrorsa?",per garantire una costante velocità di crociera.,per eliminare il fenomeno di cavitazione  dell'elica.,Per compensare l'effetto laterale delle pale.,Per compensare l'effetto laterale delle pale.
"In generale, quale effetto produce un'elica destrorsa in marcia avanti su un'unità navale monoelica con il timone al centro?",la prua si sposterà verso sinistra e la poppa verso dritta.,la prua si sposterà verso dritta e la poppa verso sinistra.,poppa tenderà ad abbassarsi e la prua ad innalzarsi.,la prua si sposterà verso sinistra e la poppa verso dritta.
"In generale, quale effetto produce un'elica sinistrorsa in marcia avanti su un'unità navale monoelica con il timone al centro?",la poppa tenderà ad abbassarsi e la prua ad innalzarsi.,la prua si sposterà verso sinistra e la poppa verso dritta.,la prua si sposterà verso dritta e la poppa verso sinistra.,la prua si sposterà verso dritta e la poppa verso sinistra.
Cosa si intende per assetto di un'unità navale?,la posizione di equilibrio assunta  nel  piano longitudinale (prua - poppa).,la posizione di equilibrio assunta nel piano trasversale (dritta - sinistra).,la posizione di equilibrio assunta nel piano verticale.,la posizione di equilibrio assunta  nel  piano longitudinale (prua - poppa).
Cosa si intende per rollio di un'unità navale?,"la rotazione lungo l'asse longitudinale dell'unità, che determina l'inclinazione della stessa a dritta e a sinistra.","la rotazione che si verifica lungo l'asse trasversale, che determina l'immersione della prua e il contestuale sollevamento della poppa e viceversa.","la rotazione che si manifesta lungo l'asse verticale, che determina la contestuale deviazione della prua da un lato e della poppa dal lato opposto.","la rotazione lungo l'asse longitudinale dell'unità, che determina l'inclinazione della stessa a dritta e a sinistra."
Cosa si intende per beccheggio di un'unità?,"la rotazione lungo l'asse longitudinale dell'unità navale, che determina l'inclinazione della stessa a dritta e a sinistra.","la rotazione che si verifica lungo l'asse trasversale, che determina l'immersione della prua e il contestuale sollevamento della poppa e viceversa.","la rotazione che si manifesta lungo l'asse verticale, che determina la contestuale deviazione della prua da un lato e della poppa dal lato opposto.","la rotazione che si verifica lungo l'asse trasversale, che determina l'immersione della prua e il contestuale sollevamento della poppa e viceversa."
Cosa si intende per accostata di un'unità?,"la rotazione dell'unità lungo l'asse longitudinale dell'unità, che determina l'inclinazione della stessa in maniera alternata a dritta e a sinistra.","la rotazione dell'unità lungo l'asse trasversale, che determina l'immersione della parte prodiera e il contestuale sollevamento della parte poppiera.","la rotazione dell'unità lungo l'asse verticale, che determina la contestuale deviazione della prua da un lato e della poppa dal lato opposto.","la rotazione dell'unità lungo l'asse verticale, che determina la contestuale deviazione della prua da un lato e della poppa dal lato opposto."
Il peso della nave corrisponde a:,la portata.,la stazza.,il   dislocamento.,il   dislocamento.
Di norma il motore diesel viene spento:,lasciando esaurire la benzina nel serbatoio.,mettendo a massa la bobina.,impedendo al carburante di affluire alla pompa di iniezione.,impedendo al carburante di affluire alla pompa di iniezione.
